DATE,AUTLORSGPNOSTSAM
1985-01-01,99.7413843427281
1985-02-01,99.7595330680777
1985-03-01,99.7675747684418
1985-04-01,99.783130800953
1985-05-01,99.8196256137189
1985-06-01,99.8771720678369
1985-07-01,99.9317611796948
1985-08-01,99.9544455937946
1985-09-01,99.930513214
1985-10-01,99.8806333916973
1985-11-01,99.8400533617961
1985-12-01,99.8395230523815
1986-01-01,99.8854846114867
1986-02-01,99.9684990599972
1986-03-01,100.06801313244
1986-04-01,100.154208598555
1986-05-01,100.196213039834
1986-06-01,100.171100702656
1986-07-01,100.075811990591
1986-08-01,99.9168472892083
1986-09-01,99.7047387697558
1986-10-01,99.4528991873748
1986-11-01,99.1799209564675
1986-12-01,98.9145182731645
1987-01-01,98.7017919348259
1987-02-01,98.5870092523884
1987-03-01,98.5957909268273
1987-04-01,98.7070420546272
1987-05-01,98.878105711495
1987-06-01,99.0619208518982
1987-07-01,99.2196968983587
1987-08-01,99.320280286984
1987-09-01,99.3412000368672
1987-10-01,99.2735376258873
1987-11-01,99.1228744319804
1987-12-01,98.916164075397
1988-01-01,98.7140701211292
1988-02-01,98.5841810357604
1988-03-01,98.5743009194104
1988-04-01,98.6806423004061
1988-05-01,98.874013176584
1988-06-01,99.1168793227302
1988-07-01,99.3738744669337
1988-08-01,99.6153042143453
1988-09-01,99.8195024575156
1988-10-01,99.9761125502452
1988-11-01,100.081040646343
1988-12-01,100.134570188147
1989-01-01,100.14297043462
1989-02-01,100.115321989019
1989-03-01,100.063450809915
1989-04-01,100.004344585345
1989-05-01,99.9560866901964
1989-06-01,99.9343063560873
1989-07-01,99.9478525946408
1989-08-01,100.001035395318
1989-09-01,100.093262386252
1989-10-01,100.215759569934
1989-11-01,100.356844989701
1989-12-01,100.50496345919
1990-01-01,100.65034776763
1990-02-01,100.7849122373
1990-03-01,100.902318491734
1990-04-01,100.99880247972
1990-05-01,101.071872682244
1990-06-01,101.12052343818
1990-07-01,101.147155835025
1990-08-01,101.155486336377
1990-09-01,101.150106946916
1990-10-01,101.137443891192
1990-11-01,101.124514755797
1990-12-01,101.118328506002
1991-01-01,101.125431988147
1991-02-01,101.151432550041
1991-03-01,101.199698723137
1991-04-01,101.268832634256
1991-05-01,101.354084957328
1991-06-01,101.447380864895
1991-07-01,101.536304447619
