Periode;Jahr;Halbjahr;Quartal;Monat;Tag;Indikator;Einheit;Status;Produzent;Region / Geschäftspartner;Datentyp;Werte;Sortierkriterium des Indikators
Jahr;2020;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Bulgarien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,25;AB005C016
Jahr;2020;;;;;Renditen langfr. staatl. Schuldverschreibungen, Tschechische Republik;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1,13;AB005C017
Jahr;2020;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Dänemark;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-0,36;AB005C018
Jahr;2020;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Lettland;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-0,06;AB005C020
Jahr;2020;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Litauen;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,22;AB005C021
Jahr;2020;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Ungarn;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;2,22;AB005C022
Jahr;2020;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Polen;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1,50;AB005C023
Jahr;2020;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Rumänien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;3,89;AB005C024
Jahr;2020;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Kroatien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,83;AB005C025
Jahr;2020;;;;;Renditen langfr. staatl. Schuldverschreibungen, Slowakische Republik;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-0,04;AB005C026
Jahr;2020;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Schweden;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-0,04;AB005C027
Jahr;2020;;;;;Renditen langfr. staatl. Schuldverschreibungen, Vereinigtes Königreich;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,32;AB005C028
Jahr;2020;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Norwegen;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,82;AB005C029
Jahr;2020;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Schweiz;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-0,50;AB005C030
Jahr;2020;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, USA;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,89;AB005C031
Jahr;2020;;;;;Renditen langfristiger staatlicher Schuldverschreibungen, Japan;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;0,00;AB005C032
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Belgien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,06;AB005C000
